question,optionA,optionB,optionC,optionD,correctAnswer
"p5.js中,哪個函數在程式開始時只運行一次?","setup()","draw()","preload()","mousePressed()","A"
"哪個函數會不斷重複執行,用於繪製畫面?","setup()","draw()","mouseClicked()","keyTyped()","B"
"用於載入外部檔案(如圖片或CSV)的函數是?","createCanvas()","background()","preload()","fill()","C"
"設定畫布大小的函數是?","setSize()","canvas()","createCanvas()","window()","C"
"改變圖形填充顏色的函數是?","fill()","stroke()","rect()","color()","A"
"p5.js的畫布原點(0,0)在哪個位置?","左上角","右下角","中心","左下角","A"
"要每幀清除畫面重繪,常用?","background()","clearRect()","erase()","save()","A"
"讀取CSV題庫時,網頁需要?","使用http/https伺服器","用file://開","關閉CORS","關閉防毒","A"
"JS中,比較值與型別皆相同的運算子?","==","=","===","=>","C"
"fetch讀檔時,成功回傳文字要用?","res.json()","res.text()","res.blob()","res.body","B"
